hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
ODA ROOMS BO - FIERA - CENTRO METEO EU - FICO EATALY,0.0,0,188,Hotel,2.9,Bologna Fiere - quartiere,False,188.0
People Travel Rooms,9.2,12,188,Hotel,1.3,Montagnola,False,188.0
4 Star Suite SPA,9.5,61,626,Hotel,1.2,Montagnola,False,626.0
Hostel Il Nosadillo - Bologna,8.0,666,71,Hotel,0.6,Saragozza,False,71.0
IN FIERA 5 Apartment,9.2,9,281,Apartment,2.1,San Donato,False,281.0
Carbonara Apartment,9.8,77,205,Apartment,0.3,Piazza Maggiore,False,205.0
RR 108,9.4,94,266,Apartment,0.6,Piazza Maggiore,False,266.0
Il Canale Hotel,8.7,1033,120,Hotel,0.5,Piazza Maggiore,False,120.0
B&B Elegance,7.2,314,80,Bed&Breakfast,1.2,Centro storico di Bologna,False,80.0
B&B Maglo Centro,8.4,769,109,Bed&Breakfast,1.2,Centro storico di Bologna,False,109.0
Bed & Breakfast CENTRALE,8.8,150,117,Hotel,1.2,Centro storico di Bologna,False,117.0
M2BO DOSSETTI 27 - FIERA,9.4,31,132,Apartment,2.3,Bologna Fiere - quartiere,False,132.0
Hotel Holiday,7.6,2971,100,Hotel,0.5,Piazza Maggiore,True,100.0
Zanhotel Regina,8.9,3071,115,Hotel,0.7,Montagnola,True,115.0
Zanhotel Europa,8.3,1688,120,Hotel,1.3,Centro storico di Bologna,True,120.0
Nuovo Hotel Del Porto,8.2,4383,141,Hotel,0.8,Piazza Maggiore,True,141.0
Sar May Apartments,9.5,6,204,Apartment,0.4,Piazza Maggiore,False,204.0
Hotel Bologna Airport,8.3,4124,89,Hotel,7.5,Borgo Panigale,True,89.0
In Fiera 14 Apartment,8.0,4,300,Apartment,2.1,San Donato,False,300.0
Grand Central Room,8.7,124,125,Hotel,1.0,Saragozza,True,125.0
Hotel Centrale,8.7,944,121,Hotel,0.5,Piazza Maggiore,True,121.0
Hotel University,8.4,1332,110,Hotel,0.6,Piazza Maggiore,True,110.0
Hotel Accademia,8.2,2129,130,Hotel,0.6,Piazza Maggiore,True,130.0
Downtown Bologna Apartment,9.4,8,283,Apartment,0.4,Piazza Maggiore,False,283.0
Hotel Michelino Bologna Fiera,8.6,2280,119,Hotel,3.4,Bologna Fiere - quartiere,True,119.0
Hotel Atlantic,8.7,1461,127,Hotel,0.8,Centro storico di Bologna,True,127.0
Albergo Giardinetto ,7.3,1470,95,Hotel,1.4,Savena,False,95.0
Galleria Del Reno,6.8,207,70,Hotel,0.8,Centro storico di Bologna,False,70.0
Hotel Marconi Express,8.4,41,112,Hotel,1.3,Centro storico di Bologna,False,112.0
Astoria Suite Apartments,8.1,771,120,Apartment,1.2,Centro storico di Bologna,True,120.0
Royal Hotel Carlton,8.5,798,229,Hotel,1.0,Centro storico di Bologna,True,229.0
Central City Rooms,8.5,286,118,Hotel,1.3,Stazione Ferroviaria di Bologna,True,118.0
Villa Savioli Room & Breakfast,9.3,559,228,Hotel,1.9,Savena,False,228.0
Residenza Piazza Santo Stefano,8.3,361,125,Other,0.7,Centro storico di Bologna,False,125.0
Albachiara Suite Rooms,8.2,185,120,Hotel,0.7,Centro storico di Bologna,False,120.0
B&B DormiRe Bologna,8.6,433,139,Bed&Breakfast,1.2,Centro storico di Bologna,True,139.0
Centro Turistico Città di Bologna,7.7,1147,123,Hotel,4.1,Bologna Fiere - quartiere,False,123.0
Residenza Rialto,8.9,163,114,Hotel,0.7,Piazza Maggiore,False,114.0
Steam House Room & Breakfast,9.1,433,145,Hotel,0.8,Montagnola,False,145.0
Allegroitalia Espresso Bologna,7.8,776,259,Hotel,1.2,Montagnola,True,259.0
B&B ATTICO GALLIERA,9.3,397,133,Bed&Breakfast,0.9,Centro storico di Bologna,False,133.0
Gregorini Bingham Art Luxury Suites,9.2,469,226,Hotel,0.5,Saragozza,False,226.0
Agriturismo Ben Ti Voglio,9.2,482,142,Hotel,6.0,Not specified,True,142.0
Porta Galliera Apartment,9.2,150,116,Apartment,1.2,Centro storico di Bologna,False,116.0
Acquaderni Rooms,9.0,491,148,Hotel,0.3,Piazza Maggiore,False,148.0
A Casa di Lu Na,8.8,332,161,Apartment,1.4,Savena,False,161.0
Boutique Hotel Re Enzo,8.5,20,160,Hotel,1.2,Saragozza,True,160.0
Agriturismo N'Uova Campagna,8.7,63,105,Hotel,7.4,Not specified,False,105.0
Casa Isolani - Santo Stefano,9.2,176,199,Hotel,0.4,Piazza Maggiore,True,199.0
B&B San Vitale,8.3,130,104,Bed&Breakfast,1.1,Savena,False,104.0
Hotel Corona d'Oro,8.9,1373,350,Hotel,0.3,Piazza Maggiore,True,350.0
La Suite B&B Apartments,7.7,766,138,Bed&Breakfast,0.6,Montagnola,True,138.0
Astoria Boutique Apartments,7.4,57,159,Apartment,1.1,Santo Stefano,True,159.0
4 Star Bologna Train Station,9.2,79,182,Apartment,1.2,Montagnola,False,182.0
Marconi 30 Apartment,8.4,16,104,Apartment,0.7,Centro storico di Bologna,False,104.0
Michelino's house,8.8,37,112,Apartment,2.6,San Donato,False,112.0
Appartamento in centro storico - via Mascarella - Università,9.2,13,137,Apartment,1.1,Montagnola,False,137.0
In Fiera 8 Apartment,0.0,0,265,Apartment,2.1,San Donato,False,265.0
L'Antenna,7.8,52,137,Hotel,1.1,Montagnola,False,137.0
My Home in Bologna - La Grassa,9.7,81,99,Apartment,0.5,Centro storico di Bologna,False,99.0
Marbia Guest House,8.5,56,143,Hotel,3.5,Not specified,False,143.0
La Maison di Bologna,7.9,28,99,Hotel,5.1,Bologna Fiere - quartiere,False,99.0
La Maison della piazzetta,9.5,81,114,Apartment,0.7,Piazza Maggiore,False,114.0
FLY HOUSE BOLOGNAun appartamento al volo,9.6,9,133,Apartment,4.8,Borgo Panigale,False,133.0
bilocale Nel Sole,8.5,18,95,Apartment,0.5,Piazza Maggiore,False,95.0
Guesthero Apartment Bologna - Fiera,0.0,0,165,Apartment,1.9,Bologna Fiere - quartiere,True,165.0
Bolognahome,7.4,83,129,Apartment,0.4,Piazza Maggiore,False,129.0
Giudei House Suite Bologna,8.6,16,172,Apartment,0.3,Piazza Maggiore,False,172.0
DL Country House,8.6,16,340,Apartment,4.3,Not specified,False,340.0
Appartamento Trento Trieste,9.7,28,114,Apartment,1.7,Savena,False,114.0
La Finestra su San Luca,9.2,56,120,Apartment,2.9,Saragozza,False,120.0
Futura. Bologna,8.2,27,138,Apartment,0.2,Saragozza,True,138.0
Suite Due Torri,0.0,0,260,Apartment,0.2,Piazza Maggiore,True,260.0
RACHEL'S HOUSE,8.7,7,109,Apartment,2.0,Bologna Fiere - quartiere,False,109.0
4 Star Bologna Family Apartments,0.0,0,199,Apartment,1.3,Not specified,False,199.0
Parri 33 Bologna Fiera 4+1 Guest Parking on demand,0.0,0,149,Apartment,2.4,Bologna Fiere - quartiere,False,149.0
BAROZZI,0.0,0,76,Apartment,1.2,Montagnola,False,76.0
Casa Pepe,9.5,28,120,Apartment,2.0,Savena,False,120.0
DolceCasa Via Antonio di Vincenzo nr 3 Bologna,8.9,68,139,Apartment,1.5,Bologna Fiere - quartiere,False,139.0
B&B Villa Rivabella,8.6,110,133,Bed&Breakfast,1.6,Not specified,False,133.0
Cavalieris Grand,8.5,288,192,Hotel,0.5,Piazza Maggiore,False,192.0
Casa Isolani. Piazza Maggiore,9.3,249,347,Hotel,0.1,Piazza Maggiore,True,347.0
binariouno,9.5,83,208,Hotel,1.3,Centro storico di Bologna,True,208.0
Hotel Roma,8.4,916,253,Hotel,0.1,Piazza Maggiore,True,253.0
Casa Bertagni,9.6,550,351,Hotel,1.0,Centro storico di Bologna,True,351.0
4Roomz,8.4,234,255,Hotel,1.3,Centro storico di Bologna,True,255.0
Hotel Conte Luna,8.0,187,171,Hotel,4.4,Not specified,True,171.0
Casa Isolani Piazza Maggiore 10,9.3,123,332,Hotel,0.1,Piazza Maggiore,False,332.0
Skyline 1/7 B&B,9.7,96,291,Bed&Breakfast,1.2,Not specified,False,291.0
Casa Ardizzoni,8.6,43,232,Hotel,2.5,Bologna Fiere - quartiere,True,232.0
La Casa Nel Verde 2,8.5,45,161,Hotel,5.4,Bologna Fiere - quartiere,True,161.0
Palazzo di Alcina - Residenza d'Epoca - Luxury B&B,9.9,92,663,Bed&Breakfast,0.4,Piazza Maggiore,True,663.0
Locanda Fourghetti,8.7,85,256,Hotel,2.0,Savena,False,256.0
B&B Galleria Cavour,9.4,64,313,Bed&Breakfast,0.2,Piazza Maggiore,False,313.0
Holiday Inn Bologna - Fiera. an IHG Hotel,8.2,3755,134,Hotel,5.2,Bologna Fiere - quartiere,False,134.0
CDH My One Hotel Bologna,8.6,1802,134,Hotel,5.1,Borgo Panigale,False,134.0
TORTE & LINI,9.4,848,192,Hotel,1.3,Stazione Ferroviaria di Bologna,True,192.0
B&B San Petronio Vecchio,9.1,102,598,Bed&Breakfast,0.9,Santo Stefano,False,598.0
UNAHOTELS Bologna Fiera,8.5,1799,200,Hotel,2.4,San Donato,False,200.0
Bologna Center Town,8.8,276,190,Hotel,0.7,Centro storico di Bologna,False,190.0
