hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
New Generation Hostel Florence Center,8.3,949,145,Hotel,0.7,Santa Maria Novella,True,145.0
Le Camere Dei Conti,9.0,238,109,Hotel,0.7,Centro storico di Firenze,True,109.0
1suite firenze,8.5,563,108,Hotel,0.9,Santa Maria Novella,True,108.0
Hotel Franchi,8.1,1364,64,Hotel,4.8,Novoli - San Donato,True,64.0
Hotel Paganini,8.0,3817,69,Hotel,3.3,Novoli - San Donato,True,69.0
Hotel Aida,8.3,1620,58,Hotel,2.1,Porta al Prato,True,58.0
Hotel Machiavelli Palace,8.2,3723,94,Hotel,0.6,San Lorenzo,True,94.0
B&B My Way,8.8,475,88,Bed&Breakfast,0.7,San Lorenzo,True,88.0
Hotel Delle Nazioni,8.1,3619,93,Hotel,0.9,Santa Maria Novella,True,93.0
La Grancontessa,9.1,655,83,Hotel,0.8,Centro storico di Firenze,True,83.0
HomEdo B&B,9.5,470,103,Bed&Breakfast,0.5,San Lorenzo,True,103.0
Hostel Archi Rossi,8.8,3016,56,Hotel,0.8,Centro storico di Firenze,True,56.0
Arno Boutique Hotel,9.4,36,78,Hotel,1.2,Centro storico di Firenze,True,78.0
B&B Hotel Firenze City Center,8.0,1325,76,Bed&Breakfast,1.4,Lungarno del Tempio,True,76.0
Plus Florence,8.3,11161,86,Hotel,1.1,Centro storico di Firenze,True,86.0
Best Western Plus CHC Florence,7.6,1130,62,Hotel,4.4,Novoli - San Donato,True,62.0
Hotel Margaret,8.2,806,54,Hotel,0.6,Santa Maria Novella,True,54.0
Santo Spirito Venti,9.1,454,94,Hotel,0.5,San Frediano,True,94.0
Soggiorno Pitti,8.8,1834,56,Hotel,0.8,San Frediano,True,56.0
Hotel Nizza,8.7,1739,65,Hotel,0.4,Santa Maria Novella,True,65.0
Hotel Lorena,8.4,1178,78,Hotel,0.4,San Lorenzo,True,78.0
Palazzo Lombardo,9.0,860,59,Hotel,2.3,Campo di Marte,True,59.0
Hotel Atlantic Palace,8.4,2602,81,Hotel,0.6,San Lorenzo,True,81.0
Hotel Martelli,7.8,1049,88,Hotel,0.3,Santa Maria Novella,True,88.0
Palazzo Graziani,9.0,712,114,Hotel,0.7,San Marco - Santissima Annunziata,True,114.0
Hotel Rapallo,9.2,545,139,Hotel,1.1,Centro storico di Firenze,True,139.0
Loggiato Dei Serviti,8.6,217,158,Hotel,0.8,San Marco - Santissima Annunziata,True,158.0
Peruzzi Urban Residences,9.4,164,133,Hotel,0.5,Uffizi,True,133.0
Nonna Lina Rooms,9.0,297,93,Hotel,0.2,Uffizi,True,93.0
Hilton Garden Inn Florence Novoli,8.5,659,120,Hotel,3.2,Novoli - San Donato,True,120.0
Soggiorno Sogna Firenze,8.3,463,65,Hotel,1.6,Porta al Prato,True,65.0
Hotel Residence La Contessina,8.8,398,98,Hotel,0.7,Centro storico di Firenze,True,98.0
Gessi Charming Apartment,8.7,335,74,Apartment,0.7,San Marco - Santissima Annunziata,True,74.0
San Giuliano Inn,9.7,221,132,Hotel,0.7,San Lorenzo,True,132.0
Florenceunita,7.4,164,60,Hotel,0.4,San Lorenzo,True,60.0
Ostello Bello Firenze,9.2,74,97,Hotel,0.7,Centro storico di Firenze,True,97.0
Hotel Panama,8.0,441,84,Hotel,1.5,Fortezza da Basso,True,84.0
Hotel Ferrucci,7.4,1178,69,Hotel,1.8,Piazzale Michelangelo,True,69.0
Residenza 54,8.2,201,97,Hotel,1.0,San Marco - Santissima Annunziata,True,97.0
B&B Residenza le Fonticine,8.7,327,108,Bed&Breakfast,0.6,San Lorenzo,True,108.0
Arte' Boutique Hotel,9.6,673,154,Hotel,0.5,San Marco - Santissima Annunziata,True,154.0
Bellevue House Affittacamere,9.2,252,113,Hotel,0.6,Santa Maria Novella,True,113.0
B&B Emozioni Fiorentine,8.9,437,107,Bed&Breakfast,0.0,Uffizi,True,107.0
Flor in Florence,9.3,269,95,Hotel,1.1,San Marco - Santissima Annunziata,True,95.0
Soggiorno Oblivium,8.7,384,92,Hotel,0.4,Santa Maria Novella,True,92.0
La Torre del Cestello - Residenza d'epoca,8.8,952,126,Hotel,0.7,San Frediano,True,126.0
Hotel d'Azeglio Firenze,7.6,798,86,Hotel,1.3,San Marco - Santissima Annunziata,True,86.0
B&B I Quattro Poeti,8.8,477,119,Bed&Breakfast,0.6,Centro storico di Firenze,True,119.0
Guest House Biffi Simone,9.0,236,82,Hotel,0.8,Santa Croce,True,82.0
Globus Urban Hotel,9.3,757,154,Hotel,0.5,San Lorenzo,True,154.0
Laurus Al Duomo,8.7,1531,202,Hotel,0.3,San Lorenzo,True,202.0
Hotel Art Atelier,8.7,770,156,Hotel,0.5,San Lorenzo,True,156.0
Renascentia Garden Relais,9.8,305,210,Hotel,0.6,San Marco - Santissima Annunziata,True,210.0
Hotel Ester,8.8,299,108,Hotel,0.6,San Lorenzo,True,108.0
Firenze Suite,9.4,395,145,Hotel,0.7,San Marco - Santissima Annunziata,True,145.0
Residenze d'epoca Collection-Sant'Anna,8.4,347,111,Hotel,0.8,Santa Maria Novella,True,111.0
Grand Hotel Baglioni,8.7,1701,188,Hotel,0.4,Santa Maria Novella,True,188.0
Alla Dimora Altea,9.2,421,97,Hotel,1.5,Fortezza da Basso,True,97.0
FH55 Grand Hotel Mediterraneo,8.2,746,145,Hotel,1.6,Lungarno del Tempio,True,145.0
La Terrazza di Jenny B&B,9.4,57,118,Bed&Breakfast,1.3,Fortezza da Basso,True,118.0
Leopoldini Appartamenti,8.9,400,104,Apartment,2.2,Rifredi,True,104.0
Eco Urban B&B,9.6,385,177,Bed&Breakfast,0.7,Centro storico di Firenze,True,177.0
Palazzo Montebello,8.7,432,255,Hotel,1.1,Centro storico di Firenze,True,255.0
La Porta del Paradiso,9.1,846,110,Hotel,1.2,Centro storico di Firenze,True,110.0
Solo Experience Hotel,9.1,2070,123,Hotel,0.4,San Lorenzo,True,123.0
Bed and Breakfast Locanda di Mosconi,9.3,498,129,Hotel,0.7,Centro storico di Firenze,True,129.0
B&B i Rinascimenti,9.1,282,129,Bed&Breakfast,0.8,San Marco - Santissima Annunziata,True,129.0
Alloro B&B,8.7,154,103,Bed&Breakfast,0.4,San Lorenzo,True,103.0
B&B La Terrazza Sul Duomo,9.3,623,147,Bed&Breakfast,0.1,Duomo,True,147.0
La Torre dei Salterelli,9.0,681,116,Hotel,0.3,Uffizi,True,116.0
Hotel Villa Il Castagno,7.0,996,86,Hotel,1.8,Campo di Marte,True,86.0
Locanda Della Musica,9.0,56,98,Hotel,0.9,Centro storico di Firenze,True,98.0
Borghese Palace Art Hotel,8.3,642,181,Hotel,0.4,Uffizi,True,181.0
B&B DomoFlorenzia,8.8,216,104,Bed&Breakfast,1.0,Centro storico di Firenze,True,104.0
Domus Duomo,8.4,311,80,Hotel,0.1,Duomo,True,80.0
La Tana Dei Leoni Affittacamere,9.2,447,81,Hotel,0.4,Uffizi,True,81.0
Hotel Alba Palace,8.8,2524,123,Hotel,0.6,Santa Maria Novella,True,123.0
Relais Stibbert Florence,9.0,233,84,Hotel,2.0,Rifredi,True,84.0
Duomo View,8.6,240,94,Hotel,0.2,Duomo,True,94.0
Villa Tolomei Hotel & Resort,8.3,287,207,Hotel,2.6,Not specified,True,207.0
Hotel Milù,9.5,393,199,Hotel,0.2,Tornabuoni,True,199.0
Relais Twelve B&B,8.9,286,104,Bed&Breakfast,0.5,San Lorenzo,True,104.0
B&B Lorena Suites,9.3,517,198,Bed&Breakfast,1.6,Campo di Marte,True,198.0
Grand Amore Hotel and Spa,9.0,188,235,Hotel,0.7,San Marco - Santissima Annunziata,True,235.0
B&B Galileo 2000,8.9,962,147,Bed&Breakfast,0.3,Uffizi,True,147.0
Sangaggio House B&B,8.7,280,149,Bed&Breakfast,2.3,Not specified,True,149.0
Santa Croce Exclusive,7.8,752,65,Hotel,0.5,Uffizi,True,65.0
Be-ONE Art and Luxury Home,9.1,198,240,Hotel,0.1,Duomo,True,240.0
Mabelle Firenze Residenza Sassetti,9.1,243,173,Hotel,0.1,Uffizi,True,173.0
Attico43 B&B,8.9,457,103,Bed&Breakfast,1.4,Porta al Prato,True,103.0
Parione Uno,9.1,453,159,Hotel,0.3,Tornabuoni,True,159.0
25hours Hotel Piazza San Paolino,0.0,0,269,Hotel,0.5,Santa Maria Novella,True,269.0
Gate of Paradise Florence B&B,8.7,226,77,Bed&Breakfast,0.9,San Lorenzo,True,77.0
V-Rooms All'Angolo Del Duomo,9.1,820,141,Hotel,0.2,Tornabuoni,True,141.0
Wow Florence,8.0,3700,55,Hotel,1.2,San Marco - Santissima Annunziata,True,55.0
Mabelle Firenze Residenza Gambrinus,9.0,242,169,Hotel,0.1,Duomo,True,169.0
c-hotels Club,8.6,3182,108,Hotel,0.7,Centro storico di Firenze,True,108.0
c-hotels Joy,8.6,2969,98,Hotel,0.9,Santa Maria Novella,True,98.0
Hostel 7 Santi,7.8,4080,44,Hotel,2.3,Campo di Marte,True,44.0
