hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Emerald Fields Hostel,7.8,176,515,Other,0.8,Centro storico di Firenze,False,257.5
Affitta camere Mimi family,7.3,43,530,Other,0.8,Centro storico di Firenze,False,265.0
Hotel San Lorenzo,7.7,675,525,Hotel,0.6,San Lorenzo,False,262.5
Hotel Arno Bellariva,7.8,829,672,Hotel,1.8,Lungarno del Tempio,False,336.0
Foresteria Valdese di Firenze,8.4,656,636,Hotel,0.9,San Frediano,True,318.0
Hotel Bologna,8.6,973,722,Hotel,1.7,Lungarno del Tempio,True,361.0
Palazzo Virginio,8.7,204,740,Hotel,1.2,Santa Croce,False,370.0
Hotel Ginori Al Duomo,8.6,976,1543,Hotel,0.5,San Lorenzo,True,771.5
Italiana Hotels Florence,7.7,2518,732,Hotel,3.9,Not specified,True,366.0
Hotel Meridiana,7.7,620,613,Hotel,1.8,Campo di Marte,False,306.5
Hotel Villa Liberty,7.7,1609,954,Hotel,1.9,Piazzale Michelangelo,True,477.0
Hotel Mirage,7.3,1345,653,Apartment,4.7,Novoli - San Donato,True,326.5
ApartHotel Quadra Key,8.6,2315,607,Apartment,3.8,Novoli - San Donato,True,303.5
Residence Porta Al Prato,8.5,1153,764,Hotel,1.5,Porta al Prato,True,382.0
Hotel Le Due Fontane,7.9,887,882,Hotel,0.7,San Marco - Santissima Annunziata,False,441.0
Hotel d'Azeglio Firenze,7.6,798,654,Hotel,1.3,San Marco - Santissima Annunziata,False,327.0
Rivoli Boutique Hotel,8.6,1603,2056,Hotel,0.6,Santa Maria Novella,True,1028.0
Hotel Ester,8.8,299,802,Hotel,0.6,San Lorenzo,True,401.0
Hotel Albani Firenze,8.6,993,1195,Hotel,0.7,Centro storico di Firenze,True,597.5
Hotel Residence La Contessina,8.8,398,1222,Hotel,0.7,Centro storico di Firenze,True,611.0
Bed and Breakfast Locanda di Mosconi,9.3,497,1719,Hotel,0.7,Centro storico di Firenze,True,859.5
