hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Hotel Boston,6.8,384,176,Hotel,2.3,Stazione Centrale,False,176.0
Hotel Delizia,8.2,264,149,Hotel,2.4,Porta Vittoria,False,149.0
HomeatHotel - Melloni Apt,6.6,31,244,Apartment,2.1,Porta Vittoria,False,244.0
Versoverde Alzaia Naviglio Grande,8.8,195,249,Apartment,3.5,Navigli,True,249.0
Hotel Corvetto Milano,6.8,599,116,Hotel,4.0,Ripamonti Corvetto,False,116.0
Sweet apartment,5.9,86,85,Hotel,4.1,Niguarda,False,85.0
Hotel Mistral,6.9,423,137,Hotel,4.8,Ripamonti Corvetto,False,137.0
Casa da Suite Linea,6.8,12,153,Apartment,5.0,Ripamonti Corvetto,True,153.0
ODSweet Duomo Milano Hotel,9.8,5,819,Hotel,0.1,Milano Centro,False,819.0
Milano Canal Apartments,8.5,138,150,Apartment,5.8,Not specified,False,150.0
Milano Navigli Apartment - Via Tortona,9.7,79,210,Apartment,2.1,Navigli,False,210.0
Hotel Palladio,8.3,1145,133,Hotel,2.0,Porta Romana,True,133.0
CanguroProperties - Piatti,0.0,0,402,Apartment,0.5,Milano Centro,False,402.0
Hotel Trentina,6.1,519,94,Hotel,3.3,Città Studi,False,94.0
CHEZROMYK the Kosher B&B,9.4,66,197,Bed&Breakfast,3.4,San Siro,False,197.0
RAFQA Suites SAN SIRO'S VIEW lotto CITY LIFE de angeli FIERA with garden,8.2,14,456,Apartment,4.2,San Siro,False,456.0
Gioia House,9.3,277,264,Hotel,1.8,Milano Centro,False,264.0
Hotel Mondial,7.6,231,129,Hotel,2.5,Stazione Centrale,False,129.0
B&B Zara,8.6,172,171,Bed&Breakfast,3.8,Bicocca - Zara,False,171.0
Room Inn,9.4,211,162,Hotel,1.6,Milano Centro,False,162.0
Blue Note Apartment Milano Pietro Borsieri 4Pax WI/FI,7.8,12,145,Apartment,2.8,Stazione Garibaldi,True,145.0
Skyline Milan,9.7,51,1182,Apartment,2.4,Stazione Centrale,False,1182.0
Oasis Of Peace A Walking Distance From Duomo,8.1,10,402,Apartment,2.0,Sempione,False,402.0
Navigli Premium Residence,5.5,6,188,Hotel,3.6,Navigli,False,188.0
Rogoredo Apartments,8.9,71,111,Apartment,5.6,Not specified,False,111.0
LHP Hotel Napoleon,8.5,685,351,Hotel,2.6,Stazione Centrale,False,351.0
Cascina Bellaria,8.1,159,126,Hotel,6.9,San Siro,True,126.0
Hotel Chopin,7.7,511,148,Hotel,4.1,Città Studi,False,148.0
Radisson Blu Hotel Milan,8.3,3056,357,Hotel,5.3,Certosa,False,357.0
Hotel Milano Palmanova,7.1,1065,135,Hotel,6.4,Not specified,False,135.0
Igiban Hotel,6.9,237,97,Hotel,5.2,Niguarda,True,97.0
Brera Prestige B&B,9.5,127,255,Bed&Breakfast,0.8,Milano Centro,True,255.0
Radisson Collection Hotel. Palazzo Touring Club Milan,9.3,24,649,Hotel,0.6,Milano Centro,False,649.0
Best Western Antares Hotel Concorde,8.1,600,213,Hotel,5.0,Viale Monza,False,213.0
NH Milano Touring,8.5,3843,615,Hotel,1.5,Milano Centro,False,615.0
Il Girasole High Quality Inn,9.0,258,136,Hotel,6.7,Viale Monza,False,136.0
INTOMILAN Aparthotel Galleria Duomo,9.2,220,370,Hotel,0.5,Milano Centro,True,370.0
Hotel Seven Rooms,8.2,350,187,Hotel,5.1,Not specified,False,187.0
Hotel Molise 2,7.4,203,133,Hotel,3.0,Porta Vittoria,False,133.0
Albergo Salerno,7.9,966,136,Hotel,2.5,Stazione Centrale,False,136.0
Milano Verticale | UNA Esperienze,9.0,336,585,Hotel,1.9,Stazione Garibaldi,True,585.0
Suitime,9.0,186,214,Apartment,1.8,Milano Centro,True,214.0
Milan Royal Suites - Centro Brera,8.8,246,230,Apartment,0.6,Milano Centro,False,230.0
Hotel VIU Milan,8.9,1733,4515,Hotel,2.3,Stazione Garibaldi,False,4515.0
Hotel Pierre Milano,8.0,721,366,Hotel,1.1,Milano Centro,False,366.0
Residence Politecnico Bovisa,6.7,600,108,Apartment,5.1,Bovisa,False,108.0
Mokinba Hotels Cristallo,6.9,711,282,Hotel,2.6,Stazione Centrale,True,282.0
Mokinba Hotels Montebianco,7.3,677,225,Hotel,3.8,Fiera Milano City,False,225.0
Meliá Milano,8.4,1518,304,Hotel,3.7,Fiera Milano City,False,304.0
21WOL Milano Centro,9.3,274,259,Hotel,2.9,Città Studi,False,259.0
Hotel Alba,6.6,61,75,Hotel,4.0,Città Studi,False,75.0
Best Western Blaise & Francis,7.8,601,117,Hotel,3.9,Niguarda,False,117.0
Hotel Convertini,7.3,243,82,Hotel,7.0,Not specified,False,82.0
Residence Milano Bicocca,8.6,2012,118,Apartment,6.9,Bicocca - Zara,True,118.0
NYX Hotel Milan by Leonardo Hotels,8.8,4435,284,Hotel,2.7,Stazione Centrale,True,284.0
Club Hotel,7.4,1198,111,Hotel,3.0,Stazione Centrale,False,111.0
Hotel Cinque Giornate,7.6,665,147,Hotel,1.4,Milano Centro,False,147.0
Hotel di Porta Romana,7.6,59,215,Hotel,2.1,Porta Romana,True,215.0
Hotel Salus,6.9,584,96,Hotel,5.4,Niguarda,False,96.0
Residenza delle Città,9.4,672,221,Hotel,3.1,Stazione Centrale,True,221.0
Hotel Marte,6.6,416,128,Hotel,2.7,Famagosta,False,128.0
Hotel Piacenza,8.1,637,214,Hotel,2.1,Porta Romana,True,214.0
Best Western Hotel City,8.4,1229,222,Hotel,2.4,Stazione Centrale,False,222.0
BB Hotels Aparthotel Arcimboldi,8.5,1670,148,Apartment,5.1,Bicocca - Zara,True,148.0
Star Hostel,6.6,878,65,Hotel,5.0,Certosa,False,65.0
Hotel Pavone,7.0,396,157,Hotel,1.2,Milano Centro,True,157.0
BB Hotels Aparthotel Bicocca,8.9,1345,108,Apartment,4.1,Bicocca - Zara,True,108.0
BB Hotels Aparthotel Città Studi,8.7,1073,158,Apartment,3.2,Città Studi,True,158.0
Dreams Hotel Residenza Pianell 10,8.2,1030,118,Apartment,4.9,Bicocca - Zara,True,118.0
iH Hotels Milano Gioia,7.9,2210,156,Hotel,4.1,Bicocca - Zara,True,156.0
Guest House Minas,7.6,577,159,Hotel,1.7,Porta Vittoria,False,159.0
Queen Hostel,8.2,1384,142,Hotel,1.4,Milano Centro,False,142.0
Italianway - Piero della Francesca 19,8.3,18,254,Apartment,2.8,Sempione,False,254.0
Milano Apartments Solari,9.7,13,279,Apartment,1.8,Navigli,False,279.0
Hotel San Giovanni,5.1,96,96,Hotel,3.0,Porta Vittoria,True,96.0
Michelangelo 81,2.0,4,185,Apartment,3.5,Bicocca - Zara,False,185.0
Lovelyloft Navigli - Gelsomino,7.6,54,144,Apartment,2.6,Famagosta,True,144.0
Sky Apartment,6.0,37,95,Apartment,5.0,Ripamonti Corvetto,False,95.0
Brera - Daplace Apartments,7.7,26,256,Apartment,1.1,Milano Centro,False,256.0
YellowSquare Milan,9.3,6,123,Hotel,1.8,Porta Romana,False,123.0
Camera Daimond,3.6,9,466,Apartment,4.1,Niguarda,False,466.0
Guesthero Apartment Milano - Navigli Area,7.0,3,188,Apartment,2.7,Navigli,True,188.0
Hotel Sabatino Milan,6.5,123,119,Hotel,3.4,Città Studi,True,119.0
Maison Lodi,9.0,20,206,Apartment,3.3,Ripamonti Corvetto,True,206.0
Casa Giussano. elegante bilocale in centro con balcone sul parco,9.6,9,158,Apartment,2.2,Fiera Milano City,False,158.0
Via Torino Apartment 2,9.0,3,261,Apartment,0.6,Milano Centro,False,261.0
Casa da Suite Moscova,8.3,4,268,Apartment,1.6,Milano Centro,True,268.0
MysaProperties - Appartamento via Lomazzo. Milano,0.0,0,200,Apartment,2.7,Sempione,False,200.0
HomeatHotel Gramsci,0.0,0,274,Apartment,2.4,Sempione,False,274.0
Italianway - Borsieri 25,0.0,0,231,Apartment,2.7,Stazione Garibaldi,False,231.0
Italianway - Cenisio 7,7.9,14,214,Apartment,2.9,Sempione,False,214.0
Lux apartment,6.2,38,227,Apartment,4.1,Niguarda,False,227.0
L’Arché di via Eraclito,9.7,13,169,Holiday Home,6.8,Viale Monza,False,169.0
Appartamento Sambuco,7.0,48,213,Apartment,1.3,Milano Centro,True,213.0
Milano Apartments Casale,9.8,49,289,Apartment,2.0,Navigli,False,289.0
Appartamento delle STAR,6.5,117,247,Apartment,4.1,Niguarda,False,247.0
Domus Camillus,0.0,0,2406,Hotel,2.2,Stazione Centrale,False,2406.0
Star Hostel San Siro Fiera,7.0,1018,75,Hotel,6.6,San Siro,False,75.0
Demidoff Hotel Milano,8.0,710,169,Hotel,2.5,Stazione Centrale,False,169.0
NH Milano Machiavelli,8.5,764,257,Hotel,1.8,Stazione Centrale,False,257.0
Hotel Midtown Milano,7.3,900,133,Hotel,2.4,Porta Vittoria,False,133.0
Affittacamere Hostel 3,5.5,427,83,Hotel,4.3,Niguarda,False,83.0
Hotel Galla,5.7,57,79,Hotel,3.9,Città Studi,False,79.0
Hotel Roxy,8.1,1590,252,Hotel,1.7,Milano Centro,True,252.0
Flatty Apartments - Navigli,0.0,0,226,Apartment,1.8,Navigli,False,226.0
BB Hotels Aparthotel Visconti,8.6,2846,138,Apartment,4.1,San Siro,True,138.0
iH Hotels Milano Ambasciatori,7.7,884,287,Hotel,0.5,Milano Centro,True,287.0
Hotel America,8.2,439,88,Hotel,2.3,Porta Vittoria,False,88.0
Genius Hotel Downtown,8.4,1565,299,Hotel,0.6,Milano Centro,True,299.0
WorldHotel Casati 18,8.7,1112,285,Hotel,2.0,Stazione Centrale,True,285.0
Hotel Montecarlo,8.2,512,119,Hotel,3.5,Città Studi,False,119.0
INNSiDE by Melia Milano Torre GalFa,9.0,491,450,Apartment,2.5,Stazione Centrale,True,450.0
Hotel H21,7.9,437,138,Hotel,4.7,Viale Monza,False,138.0
Hotel Giacosa,8.3,1009,126,Hotel,4.0,Viale Monza,False,126.0
Delle Nazioni Milan Hotel,8.8,5011,181,Hotel,2.2,Stazione Centrale,False,181.0
Hotel Nuovo Metrò,6.8,310,147,Hotel,4.8,Viale Monza,False,147.0
Sheraton Milan San Siro,8.9,771,254,Hotel,6.9,San Siro,False,254.0
Dreams Hotel Residenza Gambara,8.0,1726,132,Apartment,3.5,San Siro,False,132.0
VIVA Hotel Milano,8.1,964,160,Hotel,2.7,Città Studi,True,160.0
Hotel Amico,8.4,105,208,Hotel,6.2,Certosa,True,208.0
Collini Rooms,8.8,13,360,Hotel,4.9,Not specified,True,360.0
B&B La Terrazza di Barbara,9.5,33,247,Bed&Breakfast,3.1,Città Studi,False,247.0
Hotel Tirreno,8.4,287,111,Hotel,3.4,Città Studi,False,111.0
INNperfect Room Duomo,6.5,393,962,Hotel,0.9,Milano Centro,False,962.0
Giardino Hotel,7.4,259,163,Hotel,4.1,Famagosta,False,163.0
B&B I 10 mondi,8.9,134,292,Bed&Breakfast,3.4,Lorenteggio,False,292.0
Albergo Leonardo Da Vinci,7.3,269,195,Hotel,3.2,Città Studi,True,195.0
B&B Sansiromilano,9.6,194,267,Bed&Breakfast,4.2,San Siro,True,267.0
Sant'Ambroeus,7.7,588,252,Hotel,1.8,Milano Centro,True,252.0
Hotel Malta,8.7,360,188,Hotel,3.3,Città Studi,False,188.0
Antica Locanda Solferino,8.5,181,459,Hotel,1.5,Milano Centro,True,459.0
Made to Measure Business,8.8,294,317,Hotel,2.2,Stazione Centrale,True,317.0
Casa Venus,8.5,326,164,Hotel,5.0,Ripamonti Corvetto,True,164.0
Tiaré Home Milano,9.5,87,228,Hotel,2.5,Porta Vittoria,True,228.0
Hotel Wagner,7.9,192,315,Hotel,2.8,Fiera Milano City,False,315.0
iH Hotels Milano ApartHotel Argonne Park,7.5,264,160,Hotel,3.6,Città Studi,False,160.0
Seveso Apartments,8.6,384,152,Hotel,2.9,Stazione Centrale,False,152.0
Hotel Mentana. by R Collection Hotels,8.7,837,413,Hotel,0.6,Milano Centro,False,413.0
Corvetto Residence Porto Di Mare,7.5,180,257,Hotel,4.4,Ripamonti Corvetto,True,257.0
Hotel Aspromonte,8.3,507,205,Hotel,3.3,Città Studi,False,205.0
Albert Hotel,8.0,394,247,Hotel,2.9,Stazione Centrale,True,247.0
Hotel Kennedy,5.8,723,123,Apartment,2.0,Stazione Centrale,True,123.0
Villa Gioia,6.1,391,115,Hotel,4.0,Bicocca - Zara,False,115.0
Hotel Rallye,4.9,247,159,Hotel,2.4,Stazione Centrale,True,159.0
Italianway - Brianza 28,0.0,0,236,Apartment,3.2,Stazione Centrale,False,236.0
Casa Vacanza Le Narnie,0.0,0,141,Apartment,2.4,Porta Vittoria,False,141.0
Italianway - Piceno 23/A,0.0,0,257,Apartment,2.2,Porta Vittoria,False,257.0
Italianway-Bressanone,0.0,0,257,Apartment,6.0,Not specified,False,257.0
Coolplace Shopping,6.6,3,233,Apartment,2.8,Città Studi,False,233.0
Argo Milano,0.0,0,210,Apartment,2.9,Fiera Milano City,False,210.0
Sweet Apartment Mecenate,0.0,0,259,Apartment,4.5,Not specified,True,259.0
Italianway-Zanella,9.2,13,315,Apartment,2.8,Porta Vittoria,False,315.0
RC Luxury Rooms,0.0,0,509,Hotel,1.7,Porta Vittoria,False,509.0
Bilocale di prestigio: Milano Centro,0.0,0,171,Apartment,1.6,Milano Centro,False,171.0
Elegant apartment Milan,0.0,0,249,Apartment,1.8,Stazione Centrale,False,249.0
Greenhouseflat Milan,0.0,0,474,Apartment,2.1,Stazione Centrale,False,474.0
Bright new apartment for 5 close to Isola district,8.5,3,212,Apartment,3.7,Niguarda,False,212.0
The Best Rent - Colorful Apartment in Central Station,0.0,0,197,Apartment,3.1,Stazione Centrale,False,197.0
Prince,0.0,0,279,Apartment,3.4,Sempione,False,279.0
City Life Sky Apartment- Attico vista mozzafiato,0.0,0,432,Apartment,2.8,Fiera Milano City,False,432.0
6 Pax 2 Bedroom Apartment Designed by Caccia,0.0,0,593,Apartment,0.6,Milano Centro,False,593.0
Italianway - Moscova 46/1,0.0,0,390,Apartment,2.0,Stazione Garibaldi,False,390.0
New 2 Bedrooms Apartment with AC in Duomo designed by Caccia,0.0,0,415,Apartment,0.6,Milano Centro,False,415.0
Farini Rooms,5.8,633,440,Hotel,3.3,Bicocca - Zara,False,440.0
Milano Apt Ferra,0.0,0,414,Apartment,2.8,Famagosta,False,414.0
Mysa Properties - Appartamento con giardino,0.0,0,314,Apartment,3.6,Fiera Milano City,False,314.0
Cinque Giornate Charme Apartment,0.0,0,304,Apartment,1.4,Milano Centro,False,304.0
Welcome,0.0,0,308,Apartment,1.4,Milano Centro,False,308.0
Milan Hotel,5.6,955,72,Hotel,6.8,Viale Monza,False,72.0
UNAWAY Hotel & Residence Contessa Jolanda Milano,7.9,1329,157,Hotel,3.8,Niguarda,True,157.0
Matilde Boutique Hotel,9.1,723,495,Hotel,0.2,Milano Centro,False,495.0
Keb Hotel,7.5,763,262,Hotel,2.4,Stazione Centrale,False,262.0
Hotel Bogart 2,7.5,417,111,Hotel,3.5,Sempione,True,111.0
Enterprise Hotel Design & Boutique,8.6,2096,254,Hotel,3.5,Fiera Milano City,False,254.0
Easy Milano Apartment Navigli,8.1,25,178,Apartment,2.1,Navigli,True,178.0
Amedia Hotel Milano,9.1,52,124,Hotel,5.7,Lorenteggio,True,124.0
HeMi Suites,9.0,645,258,Hotel,0.9,Milano Centro,False,258.0
Chopin #83,0.0,0,333,Apartment,4.6,Ripamonti Corvetto,False,333.0
Maison Cusani - Brera Exclusive Apartment,0.0,0,368,Apartment,0.5,Milano Centro,False,368.0
Hemeras Boutique Homes - city center design flats,7.9,943,105,Apartment,0.2,Milano Centro,False,105.0
Hotel Dei Fiori,7.0,528,162,Hotel,3.3,Famagosta,False,162.0
NH Collection Porta Nuova,8.7,774,508,Hotel,1.9,Stazione Garibaldi,False,508.0
Hotel Fiorella Milano,7.2,809,201,Hotel,2.8,Fiera Milano City,False,201.0
Duomo Hotel & Apartments,8.9,2009,284,Hotel,0.4,Milano Centro,False,284.0
Camping Village Città di Milano,7.1,604,71,Other,8.4,San Siro,False,71.0
RED RIBBON,9.1,36,197,Hotel,3.2,Sempione,False,197.0
Hotel Milano Scala,8.7,1192,545,Hotel,0.5,Milano Centro,True,545.0
Housing32 Apartments,8.1,1413,130,Apartment,6.1,Viale Monza,False,130.0
Hotel Dorè,8.0,1202,202,Hotel,3.0,Stazione Centrale,False,202.0
