hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
NH Collection Milano President,8.5,3437,430,Hotel,0.7,Milano Centro,False,430.0
VIVA Hotel Milano,8.1,974,135,Hotel,2.7,Città Studi,True,135.0
Hotel Dorè,8.0,1195,118,Hotel,3.0,Stazione Centrale,False,118.0
Hotel America,8.2,441,78,Hotel,2.3,Porta Vittoria,False,78.0
Hotel Milano Scala,8.7,1191,398,Hotel,0.5,Milano Centro,False,398.0
Hotel Oro Blu,8.5,659,98,Hotel,3.9,Fiera Milano City,False,98.0
Brera 27 Suite,9.3,65,203,Apartment,1.4,Milano Centro,False,203.0
Art Hotel Navigli,8.6,3173,248,Hotel,2.2,Navigli,True,248.0
Hotel Alessander,7.2,396,92,Hotel,3.5,Ripamonti Corvetto,False,92.0
Hotel Rafael,8.4,1977,108,Hotel,7.5,Not specified,True,108.0
HeMi Suites,9.0,653,168,Hotel,0.9,Milano Centro,True,168.0
BB Hotels Aparthotel Visconti,8.6,2842,195,Apartment,4.1,San Siro,True,195.0
Hotel Raffaello,8.3,990,138,Hotel,5.0,Certosa,False,138.0
Grand Visconti Palace,8.7,2496,211,Hotel,2.4,Porta Romana,True,211.0
Housing32 Apartments,8.1,1415,109,Apartment,6.1,Viale Monza,False,109.0
Room Mate Giulia,9.3,2167,449,Hotel,0.1,Milano Centro,False,449.0
Hotel Venini,8.5,499,100,Hotel,3.9,Viale Monza,False,100.0
La Casa della Zia,8.5,474,106,Hotel,2.5,Porta Vittoria,False,106.0
Hightown Hostel,8.4,378,77,Hotel,2.0,Porta Romana,False,77.0
Gioia House,9.3,275,153,Hotel,1.8,Milano Centro,False,153.0
Bed & Bed Milano,6.9,434,81,Hotel,3.0,Ripamonti Corvetto,True,81.0
Amedia Hotel Milano,9.1,57,109,Hotel,5.7,Lorenteggio,True,109.0
Hotel Dei Fiori,7.0,527,118,Hotel,3.3,Famagosta,True,118.0
Be Mate Via Tivoli,9.4,512,219,Apartment,1.0,Milano Centro,False,219.0
voco Milan-Fiere. an IHG Hotel,8.0,3130,140,Hotel,7.3,Not specified,False,140.0
Cascina Gaggioli,8.5,106,105,Hotel,5.1,Not specified,True,105.0
Hotel Iride,6.7,147,95,Hotel,4.4,Città Studi,False,95.0
Hotel Rallye,4.8,244,96,Hotel,2.4,Stazione Centrale,True,96.0
Via Casale - Sweet home,7.6,111,92,Apartment,2.0,Navigli,True,92.0
Mokinba Hotels Cristallo,6.9,698,163,Hotel,2.6,Stazione Centrale,False,163.0
Bovisa House,7.2,327,52,Hotel,4.5,Bovisa,False,52.0
Hotel Aurora,8.4,383,128,Hotel,2.1,Stazione Centrale,False,128.0
Guesthero Apartment Milano - De Angeli M1,0.0,0,112,Apartment,3.6,San Siro,True,112.0
Hotel San Giovanni,5.1,95,74,Hotel,3.0,Porta Vittoria,False,74.0
Hotel Kennedy,5.8,713,80,Hotel,2.0,Stazione Centrale,False,80.0
B&B APARTAMENTS Milano Bocconi,7.3,12,80,Bed&Breakfast,1.5,Navigli,False,80.0
INNperfect Room Duomo,6.5,392,481,Hotel,0.9,Milano Centro,False,481.0
Guesthero Apartment Milano - Gambara M1,9.2,10,143,Apartment,3.9,San Siro,True,143.0
numa l Loreto Rooms & Apartments,9.5,10,117,Apartment,2.5,Stazione Centrale,True,117.0
Romantic & Artistic Apartment,9.7,51,119,Apartment,3.4,Sempione,False,119.0
Hotel Adelchi,6.2,258,77,Hotel,4.2,Città Studi,False,77.0
Smart Central Apartments,8.4,90,77,Apartment,2.8,Stazione Centrale,False,77.0
Chiossetto House,7.7,116,168,Apartment,0.9,Milano Centro,False,168.0
Hotel Boston,6.8,379,119,Hotel,2.3,Stazione Centrale,True,119.0
Smart Hotel Central,7.6,1989,1008,Hotel,2.4,Stazione Centrale,False,1008.0
Milano Navigli Apartment - Via Savona,9.7,81,189,Apartment,1.9,Navigli,False,189.0
APARTMENT ON THE CORNER WITH PIAZZA DUOMO,3.3,10,117,Apartment,0.2,Milano Centro,False,117.0
YellowSquare Milan,8.5,13,154,Hotel,1.8,Porta Romana,True,154.0
Camaldoli House,7.9,295,101,Apartment,6.5,Not specified,True,101.0
Cascina Bellaria,8.1,161,89,Hotel,6.9,San Siro,False,89.0
Aiello Hotels - Centrale,8.4,31,181,Hotel,2.5,Stazione Centrale,True,181.0
Aparthotel Isola,9.2,320,136,Apartment,3.5,Bicocca - Zara,False,136.0
Hotel Mistral,7.0,423,96,Hotel,4.8,Ripamonti Corvetto,False,96.0
Hotel Chopin,7.7,511,118,Hotel,4.1,Città Studi,False,118.0
Rosa Grand Milano - Starhotels Collezione,8.6,2940,520,Hotel,0.4,Milano Centro,False,520.0
La Locanda dell'Olmo,7.8,81,121,Apartment,3.5,Stazione Centrale,True,121.0
Hotel Milano Palmanova,7.1,1058,105,Hotel,6.4,Not specified,False,105.0
B&B Parco Lambro,8.3,75,74,Bed&Breakfast,5.2,Not specified,False,74.0
Maison Milano | UNA Esperienze,8.9,846,409,Hotel,0.1,Milano Centro,False,409.0
Hotel Berlino,8.2,1358,100,Hotel,4.0,Certosa,True,100.0
Rooms Milano Duomo,9.1,478,231,Hotel,0.1,Milano Centro,False,231.0
Suitime,9.0,187,180,Apartment,1.8,Milano Centro,False,180.0
Hotel Molise 2,7.3,203,89,Hotel,3.0,Porta Vittoria,False,89.0
Mila Apartments Magenta,8.5,142,161,Apartment,0.7,Milano Centro,False,161.0
Albergo Salerno,7.9,965,103,Hotel,2.5,Stazione Centrale,False,103.0
Atmos Luxe Navigli,8.6,605,166,Hotel,2.7,Navigli,False,166.0
Hotel Seven Rooms,8.2,348,134,Hotel,5.1,Not specified,False,134.0
Residence Politecnico Bovisa,6.7,600,102,Apartment,5.1,Bovisa,False,102.0
Aiello Rooms San Babila,8.6,411,301,Hotel,0.8,Milano Centro,False,301.0
Hotel Indigo Milan - Corso Monforte. an IHG Hotel,9.1,716,299,Hotel,1.1,Milano Centro,False,299.0
Home Flowers Milano,8.4,340,144,Hotel,3.5,Stazione Centrale,False,144.0
Hotel Delizia,8.2,265,137,Hotel,2.4,Porta Vittoria,True,137.0
BePlace Garibaldi Suites,9.3,86,205,Hotel,1.4,Milano Centro,False,205.0
Bronzino House,9.6,114,114,Hotel,2.8,Città Studi,False,114.0
Hotel Central Station,6.5,1545,99,Hotel,2.9,Stazione Centrale,False,99.0
Hotel Bicocca,7.0,1331,69,Hotel,4.3,Bicocca - Zara,False,69.0
Marsala Flexyrent apartment,8.2,30,425,Apartment,1.6,Milano Centro,False,425.0
Hotel Teco,9.2,1117,130,Hotel,2.2,Stazione Centrale,False,130.0
Hotel Dateo,6.6,1393,74,Hotel,2.2,Porta Vittoria,False,74.0
Doria Grand Hotel,8.2,2244,181,Hotel,2.9,Stazione Centrale,False,181.0
Hotel Gambara,7.6,1119,59,Hotel,3.8,San Siro,True,59.0
Hotel Ibis Milano Ca' Granda,7.4,975,108,Hotel,4.7,Bicocca - Zara,False,108.0
B&B Hotel Milano Central Station,8.7,3607,105,Bed&Breakfast,2.2,Stazione Centrale,False,105.0
Cà Duomo Design,7.9,37,373,Apartment,0.6,Milano Centro,False,373.0
Ibis Styles Milano Centro,8.0,2043,112,Hotel,2.3,Stazione Centrale,False,112.0
Hilton Garden Inn Milan North,8.1,3203,179,Hotel,6.5,Viale Monza,True,179.0
HOTEL Poma,5.6,255,70,Hotel,2.2,Porta Vittoria,False,70.0
Big flat close to the city center - Tertulliano,8.7,3,198,Apartment,3.1,Porta Vittoria,False,198.0
Hotel Aspromonte,8.3,509,123,Hotel,3.3,Città Studi,False,123.0
ApArt Hotel Lupetta 5,6.6,1577,113,Apartment,0.3,Milano Centro,False,113.0
Mokinba Hotels Baviera,7.6,987,160,Hotel,1.8,Stazione Centrale,False,160.0
Hotel Des Etrangers,8.0,1004,229,Hotel,2.9,Navigli,False,229.0
Hotel Aurelia Milano,8.0,1233,115,Hotel,2.9,Città Studi,False,115.0
Hotel Florence,8.1,1279,98,Hotel,3.4,Città Studi,True,98.0
Luxury Apartments all inclusive,0.0,0,61,Apartment,3.8,Not specified,True,61.0
Skyline Milan,9.7,51,807,Apartment,2.4,Stazione Centrale,False,807.0
Hotel Garden,7.6,1303,106,Hotel,2.8,Ripamonti Corvetto,True,106.0
Enjoy Milano,8.9,813,106,Hotel,2.9,Stazione Centrale,True,106.0
Hotel Le Querce,7.7,413,77,Hotel,3.6,Fiera Milano City,True,77.0
Hotel Bernina,8.1,1013,151,Hotel,2.4,Stazione Centrale,False,151.0
iH Hotels Milano Lorenteggio,8.5,1516,135,Hotel,6.1,Lorenteggio,False,135.0
Agape Hotel,8.2,1849,110,Hotel,6.4,Not specified,False,110.0
Eurohotel,7.9,2498,157,Hotel,1.8,Milano Centro,False,157.0
Hotel Mediolanum,8.3,1106,177,Hotel,2.2,Stazione Centrale,True,177.0
Novotel Milano Nord Cà Granda,7.3,1149,128,Hotel,4.7,Bicocca - Zara,False,128.0
Hotel 38,8.1,773,141,Hotel,2.0,Sempione,True,141.0
Hotel Domenichino,8.0,2184,95,Hotel,3.3,Fiera Milano City,False,95.0
Hotel Manin,8.8,1717,511,Hotel,1.2,Milano Centro,False,511.0
Hotel Centrale,7.1,3433,79,Hotel,3.7,Stazione Centrale,False,79.0
B&B Hotel Milano San Siro,8.3,4169,75,Bed&Breakfast,5.4,San Siro,False,75.0
Hotel Metrò,8.6,1926,118,Hotel,2.5,Fiera Milano City,False,118.0
London Hotel,7.7,1853,111,Hotel,0.5,Milano Centro,False,111.0
Hotel Lombardia,8.0,1122,129,Hotel,3.7,Città Studi,False,129.0
Hotel La Vignetta,8.0,2476,154,Hotel,1.5,Milano Centro,True,154.0
Hotel Ideale,8.1,510,137,Hotel,2.3,Città Studi,True,137.0
Hotel Fiera Congressi,8.5,543,119,Hotel,3.0,Fiera Milano City,True,119.0
New Generation Hostel Milan Center Navigli,7.5,2452,136,Hotel,1.3,Milano Centro,False,136.0
B&B L'Ottava,8.2,83,105,Bed&Breakfast,1.7,Porta Vittoria,True,105.0
Heart Hotel Milano,8.8,305,230,Hotel,1.8,Stazione Garibaldi,False,230.0
UNAHOTELS Century Milano,8.3,1934,230,Hotel,2.4,Stazione Centrale,True,230.0
Hotel Marconi,8.5,2031,160,Hotel,2.1,Stazione Centrale,False,160.0
Hotel Tocq,8.7,215,229,Hotel,2.1,Stazione Garibaldi,True,229.0
Uptown Palace,8.4,3324,295,Hotel,0.8,Milano Centro,True,295.0
Andreola Central Hotel,8.4,1274,175,Hotel,2.6,Stazione Centrale,True,175.0
Combo Milano,9.0,770,151,Hotel,2.4,Navigli,False,151.0
L'Isola di Romy,8.3,1051,61,Hotel,3.1,Bicocca - Zara,True,61.0
