hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Nakissa Inn,8.5,368,1698,Hotel,0.7,Rione Monti,False,242.57142857142858
Enjoy Roma,7.6,54,737,Hotel,2.5,Vaticano Prati,False,105.28571428571429
Sonder — Fontana Di Trevi,8.9,147,2552,Hotel,0.7,Trevi,False,364.57142857142856
San Pietro Vatican Apartments,9.8,120,2235,Apartment,3.3,Vaticano Prati,False,319.2857142857143
Rome Veniero WelcomeHouse,9.5,54,1187,Holiday Home,2.6,Vaticano Prati,True,169.57142857142858
Maison delle Naiadi Roma,9.4,16,1084,Hotel,1.2,Stazione Termini,True,154.85714285714286
RHome Luxury Business Collection,9.3,142,1694,Apartment,1.5,Stazione Termini,False,242.0
Hotel Everest Inn Rome,8.0,523,1204,Hotel,1.1,Stazione Termini,True,172.0
Dimora Storica Urbana,8.5,159,1051,Hotel,1.0,Rione Monti,False,150.14285714285714
Casa Minerva Al Pantheon,9.0,39,1784,Apartment,0.5,Pantheon,False,254.85714285714286
Hotel Katty,8.1,642,919,Hotel,2.0,Stazione Termini,True,131.28571428571428
Una Finestra su Monti,9.3,288,1142,Hotel,0.9,Rione Monti,True,163.14285714285714
Hotel Ariston,8.4,791,1636,Hotel,1.6,Stazione Termini,True,233.71428571428572
Hotel Marco Polo Rome,7.6,145,1166,Hotel,1.9,Stazione Termini,True,166.57142857142858
Rome Cavalieri. A Waldorf Astoria Hotel,8.8,836,4883,Hotel,4.0,Trionfale,True,697.5714285714286
Duca d'Alba Hotel - Chateaux & Hotels Collection,8.5,567,1799,Hotel,0.8,Rione Monti,True,257.0
Frattina Rooms,8.9,351,2780,Hotel,0.9,Spagna,False,397.14285714285717
The Guardian,9.0,700,2106,Hotel,2.0,Stazione Termini,True,300.85714285714283
Residence Garden,7.8,64,1113,Apartment,7.0,Eur,True,159.0
Hotel Flavio,8.3,294,1197,Hotel,1.9,Stazione Termini,True,171.0
Hotel Ascot,8.2,514,1014,Hotel,1.7,Stazione Termini,True,144.85714285714286
Casa per Ferie Ravasco San Pietro,8.5,131,1288,Hotel,2.2,Vaticano Prati,True,184.0
Baglioni Hotel Regina - The Leading Hotels of the World,9.4,858,9109,Hotel,1.4,Via Veneto,True,1301.2857142857142
DOMUS PIO XI,8.0,12,938,Hotel,3.6,Aurelio,True,134.0
Serventi Longhi Rooms,9.2,245,928,Hotel,2.6,San Giovanni,True,132.57142857142858
Charming Private Flat Navona Square,0.0,0,1827,Apartment,1.1,Piazza Navona,False,261.0
Rome As You Feel - Gregorio Style Apartment,0.0,0,818,Apartment,3.4,Aurelio,True,116.85714285714286
Graces,0.0,0,1008,Apartment,4.2,Aurelio,False,144.0
Vatican Luxury Apartment Cardinale Lualdi,0.0,0,1707,Apartment,2.4,Vaticano Prati,False,243.85714285714286
JNDHolidays,9.5,17,22803,Apartment,3.4,Aurelio,False,3257.5714285714284
PIGNETO VILLAGE Roma Guest House Apartment,0.0,0,6741,Apartment,3.6,Prenestino,False,963.0
Grace's House,0.0,0,976,Apartment,4.2,Aurelio,False,139.42857142857142
Boutique Domus,8.6,3,1186,Apartment,2.4,Gianicolense,False,169.42857142857142
Suite 83,8.9,16,16490,Apartment,3.5,Portuense,False,2355.714285714286
Maisondesfleurs63,0.0,0,1883,Apartment,1.4,Trastevere,False,269.0
Rome Accommodation Principe Amedeo,8.6,10,1475,Apartment,1.8,Stazione Termini,True,210.71428571428572
ORCHID APARTMENT,0.0,0,1694,Apartment,0.7,Piazza Navona,False,242.0
The Pantheon Eyes,0.0,0,1960,Holiday Home,0.6,Pantheon,False,280.0
Trastevere Family Apartment,0.0,0,6808,Apartment,2.8,Gianicolense,False,972.5714285714286
ROMANA SUITES,0.0,0,1148,Hotel,1.8,Via Veneto,True,164.0
VATICAN SAPPHIRE SUITES,0.0,0,2169,Apartment,2.5,Vaticano Prati,False,309.85714285714283
Santa Maria Maggiore Apartment,8.8,9,1495,Apartment,1.4,Rione Monti,True,213.57142857142858
Sonder — Via Veneto,0.0,0,1399,Hotel,1.5,Via Veneto,False,199.85714285714286
Regola Apartment Sleeps 6 Air Con WiFi,0.0,0,16355,Apartment,1.7,Trastevere,False,2336.4285714285716
Casa di Campo de' Fiori,8.1,49,1954,Apartment,0.9,Piazza Navona,False,279.14285714285717
Piazza Venezia Luxury Apartment,8.9,44,1162,Apartment,0.5,Pantheon,False,166.0
Termini Halldis Apartments,7.4,13,1115,Apartment,1.6,Stazione Termini,True,159.28571428571428
Elle house Roma,0.0,0,1136,Apartment,1.6,Via Veneto,False,162.28571428571428
New Vaticano Apartment,8.7,17,5723,Apartment,3.2,Vaticano Prati,False,817.5714285714286
Esquilino Exquisite 2BR Apartment,0.0,0,1618,Apartment,1.6,Stazione Termini,True,231.14285714285714
Open Space Vatican City,10.0,6,3773,Apartment,3.2,Vaticano Prati,False,539.0
Egades House,9.3,3,4783,Apartment,4.1,Gianicolense,False,683.2857142857143
Hotel Dorica,8.4,305,6412,Hotel,1.1,Rione Monti,True,916.0
Dea Suite Roma,9.2,149,1708,Hotel,4.5,Appio Latino,False,244.0
The Britannia Hotel,8.5,358,2331,Hotel,1.1,Stazione Termini,True,333.0
Trevi Palace Luxury Inn,7.9,56,2972,Hotel,0.6,Trevi,True,424.57142857142856
Casa Linda,7.4,13,747,Apartment,1.8,Stazione Termini,False,106.71428571428571
Now Apartments,9.4,407,1821,Apartment,1.2,Piazza Navona,False,260.14285714285717
RHome SUITE,8.5,153,3598,Hotel,1.3,Spagna,False,514.0
Colosseum Super Family Apartment,8.7,16,1176,Apartment,1.4,Colosseo,True,168.0
Suite Rondanini,9.4,42,1948,Apartment,0.7,Pantheon,False,278.2857142857143
Sleep In Rome Ludovisi,8.9,72,7098,Apartment,1.3,Via Veneto,True,1014.0
Claude's House,8.5,11,1218,Holiday Home,7.3,Ardeatino,True,174.0
Domus al Palatino,9.3,30,1267,Holiday Home,0.7,Colosseo,False,181.0
Palm Suites - Small Luxury Hotels of the World,8.9,208,5180,Hotel,0.8,Rione Monti,False,740.0
Palazzo Scanderbeg,9.4,122,4137,Hotel,0.6,Trevi,True,591.0
Luxury Flat by Navona Square,7.8,9,3750,Apartment,1.0,Piazza Navona,False,535.7142857142857
Hotel Manfredi Suite In Rome,8.9,155,3067,Hotel,1.3,Spagna,True,438.14285714285717
Prince's Suite Luxury Business Collection,9.1,360,4648,Apartment,1.5,Stazione Termini,False,664.0
The Inn At The Roman Forum,9.3,118,4121,Apartment,0.5,Rione Monti,False,588.7142857142857
Fiori Flat,0.0,0,1495,Apartment,0.9,Spagna,False,213.57142857142858
Trevi 86,9.0,71,1510,Apartment,0.6,Trevi,False,215.71428571428572
CasaCau,9.4,11,3598,Apartment,0.7,Trevi,False,514.0
San Pietro Shabby Chic Apartment,8.9,267,843,Apartment,2.4,Vaticano Prati,False,120.42857142857143
Unique luxury apartment and rooms,9.1,71,2303,Apartment,2.0,Villa Borghese/Parioli,False,329.0
Tenuta Capizucchi,8.5,20,755,Apartment,15.2,Not specified,False,107.85714285714286
PF Apartment,6.9,9,1146,Apartment,1.0,Piazza Navona,False,163.71428571428572
Hotel Corot,7.5,285,1029,Hotel,1.9,Stazione Termini,False,147.0
New Design StPeter,9.2,141,1083,Hotel,2.7,Vaticano Prati,False,154.71428571428572
Comfort Hotel Bolivar,8.4,1057,1957,Hotel,0.4,Rione Monti,True,279.57142857142856
Hotel Milani,7.6,720,1034,Hotel,1.9,Stazione Termini,True,147.71428571428572
B&B Rome Terminal House,6.9,591,693,Bed&Breakfast,2.0,Stazione Termini,True,99.0
Hotel Fellini,8.8,1360,1537,Hotel,0.8,Trevi,True,219.57142857142858
Sonder — San Pietro Vaticano,8.6,415,872,Hotel,2.2,Vaticano Prati,False,124.57142857142857
Boutique Hotel Campo de' Fiori,8.8,326,2531,Apartment,0.8,Piazza Navona,True,361.57142857142856
Hotel Virginia,7.5,1023,645,Hotel,1.9,Stazione Termini,False,92.14285714285714
YellowSquare Rome,8.7,2963,1129,Hotel,2.1,Stazione Termini,True,161.28571428571428
River Chateau Hotel,8.9,440,1631,Hotel,5.0,Tor Di Quinto,True,233.0
Starhotels Metropole,8.7,1551,2284,Other,1.3,Stazione Termini,True,326.2857142857143
Residenza Termini,9.3,528,1538,Apartment,2.0,Stazione Termini,True,219.71428571428572
Hotel Giugiù,8.5,292,784,Hotel,1.3,Stazione Termini,False,112.0
9Hotel Cesari,8.2,605,1974,Hotel,0.5,Pantheon,True,282.0
Affittacamere Roma Tiburtina,6.8,149,763,Hotel,4.2,Nomentano,True,109.0
Sun light Guest House 2,7.8,245,1330,Hotel,2.0,Stazione Termini,True,190.0
Flower Garden Hotel,8.1,1122,977,Hotel,1.3,Stazione Termini,True,139.57142857142858
Nazionale Palace Suites,9.0,322,1093,Hotel,1.1,Stazione Termini,False,156.14285714285714
Beautiful Home,6.8,519,1626,Hotel,1.8,Stazione Termini,False,232.28571428571428
Hotel Royal Court,8.0,97,1000,Hotel,2.1,Stazione Termini,True,142.85714285714286
Hotel Londra & Cargill,8.6,712,1728,Hotel,1.9,Via Veneto,True,246.85714285714286
The Boutique Hotel,9.1,301,1176,Hotel,2.1,Vaticano Prati,True,168.0
Hotel Anfiteatro Flavio,7.7,648,1147,Hotel,0.6,Rione Monti,True,163.85714285714286
Hotel Planet,7.0,738,744,Hotel,1.9,Stazione Termini,True,106.28571428571429
Hotel Contilia,7.6,2629,1015,Hotel,1.5,Stazione Termini,True,145.0
Mood Suites Tritone,8.6,261,1364,Hotel,0.9,Trevi,True,194.85714285714286
Urban Garden Hotel,7.7,955,785,Hotel,7.9,Tiburtino,True,112.14285714285714
Hotel Nautilus,8.2,249,1159,Hotel,2.2,Vaticano Prati,True,165.57142857142858
Apartment in Rome close to all the sights,0.0,0,728,Apartment,1.6,Not specified,True,104.0
Accogliente hotel,0.0,0,630,Apartment,2.0,Not specified,True,90.0
Benvenuto ospite,0.0,0,753,Apartment,1.3,Not specified,True,107.57142857142857
Cento ospiti,0.0,0,693,Apartment,0.9,Not specified,True,99.0
Andiamo a fare una visita,0.0,0,753,Apartment,1.5,Not specified,True,107.57142857142857
una stella italiana a Roma,0.0,0,728,Apartment,1.7,Via Veneto,True,104.0
Elegante appartamento Piazza Lodovico Cerva,0.0,0,658,Apartment,8.8,Giuliano-Dalmata,True,94.0
VATICAN HIDEAWAY - DA TENERE NASCOSTO!!,0.0,0,693,Apartment,2.6,Aurelio,True,99.0
lussuoso appartamento,0.0,0,658,Apartment,8.8,Fonte Ostiense,True,94.0
Apollo Apartments Colosseo,9.1,166,1362,Apartment,0.6,Rione Monti,False,194.57142857142858
Maison Re Di Roma,7.0,85,702,Apartment,3.6,San Giovanni,True,100.28571428571429
Vatican Museums Gate 3Bd Apartment,0.0,0,868,Apartment,2.9,Not specified,True,124.0
Elegant Apartment close to Colosseum by John,0.0,0,833,Apartment,1.3,Not specified,True,119.0
Apartment in Rome's center,0.0,0,798,Apartment,1.3,Rione Monti,True,114.0
Appartamento accogliente. 2 locali. 42 m²,0.0,0,777,Apartment,1.1,Stazione Termini,True,111.0
Smy Area Roma,8.0,1899,1249,Hotel,5.6,Ostiense,True,178.42857142857142
New Opening! Design apartment near Pantheon,0.0,0,938,Apartment,0.5,Not specified,True,134.0
Luxury apartments in the heart of the city,0.0,0,938,Apartment,1.1,Not specified,True,134.0
Prestigioso appartamento con due stanze separate,0.0,0,973,Apartment,10.4,Magliana Vecchia,True,139.0
Dome at home - La cupola a casa,0.0,0,936,Apartment,3.0,Vaticano Prati,False,133.71428571428572
Greta's Home in Rome,9.1,8,2260,Apartment,1.1,Spagna,False,322.85714285714283
Amazing apartments for tourists,0.0,0,1119,Apartment,1.2,Not specified,True,159.85714285714286
Fidelio II Holiday Home,0.0,0,1148,Apartment,1.9,Vaticano Prati,True,164.0
New Vatican's per 6 persone. 2 stanze. 2 bagni,0.0,0,1123,Apartment,2.7,Vaticano Prati,False,160.42857142857142
Appartamento Piazza Navona,0.0,0,1106,Apartment,1.0,Piazza Navona,False,158.0
Appartamento confortevole. 1 camera. 34 m²,0.0,0,1190,Apartment,2.6,Vaticano Prati,True,170.0
Hotel Assisi,8.3,354,1184,Hotel,2.0,Stazione Termini,True,169.14285714285714
Romebest Suite,10.0,4,581,Hotel,2.1,Stazione Termini,True,83.0
Ludovisi Luxury Rooms,9.3,15,1498,Hotel,2.0,Via Veneto,True,214.0
Dreams Of Rome,8.7,16,861,Hotel,3.4,Aurelio,False,123.0
NEW PARADISE,0.0,0,710,Hotel,2.2,Vaticano Prati,True,101.42857142857143
Centocelle. New enjoyable Apartment,9.2,4,946,Apartment,6.9,Prenestino,True,135.14285714285714
Vatican's Apartment,9.7,55,1278,Apartment,2.7,Vaticano Prati,False,182.57142857142858
Vaticano Halldis Apartments,8.2,49,1236,Apartment,2.9,Vaticano Prati,False,176.57142857142858
La Casa Simpatia - Accettiamo Bonus Vacanze Roma - Parcheggio gratuito a richiesta,8.1,23,1330,Hotel,1.6,Stazione Termini,True,190.0
Best Western Hotel Rivoli,8.0,240,1848,Hotel,3.0,Villa Borghese/Parioli,True,264.0
Aurelia Antica Suites & Apartments,8.5,13,1029,Apartment,4.8,Aurelio,True,147.0
Magna Domus,0.0,0,1288,Holiday Home,2.3,Stazione Termini,False,184.0
VolturnoGuestHouse2,2.4,8,403,Hotel,1.7,Stazione Termini,False,57.57142857142857
Bel soggiorno,7.9,113,1178,Hotel,1.2,Stazione Termini,False,168.28571428571428
Il Nido di Desy,8.5,26,857,Apartment,7.3,Prenestino,False,122.42857142857143
