hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Corte Stupenda,8.3,21,1808,Apartment,0.4,Castello,True,258.2857142857143
B&B Venice,8.6,307,682,Bed&Breakfast,1.0,Santa Croce,True,97.42857142857143
Hotel Casa Linger,7.5,420,623,Hotel,0.7,Castello,True,89.0
Palazzetto Foscari,9.9,30,2660,Hotel,1.4,Santa Croce,True,380.0
Casa Teresa,9.4,76,944,Apartment,1.6,Castello,True,134.85714285714286
Porta da mar,8.9,131,1216,Hotel,0.9,Castello,True,173.71428571428572
Radisson Collection Hotel. Palazzo Nani Venice,0.0,0,2754,Hotel,1.6,Cannaregio,True,393.42857142857144
Santa Croce Apartment,9.5,32,1176,Apartment,1.2,Santa Croce,True,168.0
Ca' del Monastero 2 Collection Apt for 4 Guests with Lift,9.3,11,1851,Apartment,1.2,Santa Croce,True,264.42857142857144
Majoorel (near San Marco),9.5,104,1297,Apartment,0.6,Castello,True,185.28571428571428
Ambassador Tre Rose,7.9,567,1050,Hotel,0.1,San Marco,True,150.0
CASA MARGOT,7.9,9,846,Hotel,0.7,San Marco,True,120.85714285714286
Venice Terminal Apartments & Suites,7.7,8,767,Apartment,9.5,Not specified,True,109.57142857142857
Venice traditional home with terrace,0.0,0,1157,Apartment,1.1,Dorsoduro,True,165.28571428571428
Residenza Corte Molin,9.5,244,1089,Hotel,0.7,San Polo,True,155.57142857142858
Cannaregio II Apartments,8.3,24,873,Apartment,1.4,Cannaregio,True,124.71428571428571
Casa delle Ortensie,8.4,102,995,Apartment,0.8,Cannaregio,True,142.14285714285714
Apartment N 358,8.1,14,1044,Apartment,1.6,Castello,True,149.14285714285714
City Apartments Salute-Accademia,7.9,32,1012,Apartment,0.5,Dorsoduro,True,144.57142857142858
Casa Marco Polo,9.8,72,2410,Apartment,0.2,San Marco,False,344.2857142857143
Villa Annamaria,6.9,37,383,Hotel,9.7,Not specified,True,54.714285714285715
Ca' Derai,9.4,119,879,Apartment,1.2,Cannaregio,True,125.57142857142857
Al Pozzo di Luce Venezia Suites,9.5,140,1018,Hotel,1.0,Cannaregio,True,145.42857142857142
Ca' Alberto Apartments,9.4,44,1084,Apartment,0.3,Castello,True,154.85714285714286
Oceano Mare B&B,9.0,114,883,Bed&Breakfast,0.9,Castello,True,126.14285714285714
Al Mascaron Ridente,8.9,1043,1009,Hotel,1.4,Cannaregio,True,144.14285714285714
Grifoni Boutique Hotel,7.9,1281,1041,Hotel,0.9,San Polo,True,148.71428571428572
Hotel Orion,8.6,915,956,Hotel,0.2,San Marco,True,136.57142857142858
Palazzo Orseolo- Gondola View,9.0,424,1996,Hotel,0.2,San Marco,True,285.14285714285717
AC Hotel Venezia by Marriott,9.0,582,1192,Hotel,1.6,Santa Croce,True,170.28571428571428
Hotel Malibran,7.9,727,1059,Hotel,0.6,Cannaregio,True,151.28571428571428
San Marco Suite 755,9.2,474,1949,Hotel,0.2,San Marco,True,278.42857142857144
Palazzo Odoni,9.0,786,1448,Hotel,1.3,Santa Croce,True,206.85714285714286
Hotel Gardena,8.9,529,1129,Hotel,1.5,Santa Croce,True,161.28571428571428
Hotel Il Mercante di Venezia,8.1,712,1139,Hotel,1.6,Cannaregio,True,162.71428571428572
Liassidi Wellness Suites,9.2,284,3552,Hotel,0.6,Castello,True,507.42857142857144
Hotel Casa Verardo Residenza d'Epoca,8.7,459,1263,Hotel,0.3,Castello,True,180.42857142857142
Hotel Ca' Nobile Corner,8.8,488,1589,Hotel,1.2,Dorsoduro,True,227.0
Piccolo Tiepolo,8.0,1520,894,Hotel,0.2,Castello,True,127.71428571428571
Al Portico Guest House,8.5,885,851,Hotel,1.3,Cannaregio,True,121.57142857142857
Hotel Leonardo,8.2,1008,938,Hotel,1.2,Cannaregio,True,134.0
Locanda Cà Del Console,8.8,524,1092,Hotel,0.5,Castello,True,156.0
Egò Boutique Hotel The Silk Road,9.7,112,2138,Hotel,0.4,San Marco,True,305.42857142857144
Royal San Marco,7.8,954,1104,Hotel,0.1,San Marco,True,157.71428571428572
Palazzetto Pisani Grand Canal,8.4,1488,1400,Hotel,0.7,San Marco,True,200.0
Guesthouse Ca' San Marcuola 1,8.8,728,1148,Hotel,1.2,Cannaregio,True,164.0
Alberghiera Venezia,9.1,757,1060,Apartment,1.8,Cannaregio,True,151.42857142857142
Hotel La Residenza,8.8,463,1456,Hotel,0.7,Castello,True,208.0
Hotel Aquarius Venice-Ascend Hotel Collection,9.2,180,1813,Apartment,1.1,Santa Croce,True,259.0
Casa Dei Pittori Venice Apartments,9.1,334,1638,Apartment,1.1,Santa Croce,True,234.0
TrueVenice,8.8,8,906,Apartment,0.8,Castello,True,129.42857142857142
Il Pozzo Magico,8.6,97,1140,Hotel,1.0,Santa Croce,False,162.85714285714286
SUNNY CANALVIEW 4pax. wifi. aircond,8.8,52,1340,Apartment,1.2,Cannaregio,True,191.42857142857142
Cà Valeri,7.8,125,945,Hotel,0.7,Castello,False,135.0
Apartments Ca' Dei Dogi,9.3,43,2245,Apartment,0.2,Castello,True,320.7142857142857
Friendly Cannaregio Apartments,7.3,68,864,Apartment,1.4,Cannaregio,True,123.42857142857143
Privacy in Venice - Your apartment to be let alone,9.5,18,1825,Apartment,0.7,Castello,True,260.7142857142857
Elegant Fornasa Vecia. canal view with a beautiful garden R&R,9.4,37,1546,Apartment,1.8,Cannaregio,True,220.85714285714286
Cadoro,6.8,195,618,Hotel,1.1,Cannaregio,True,88.28571428571429
Agriturismo Basegò,9.4,29,694,Hotel,5.2,Not specified,True,99.14285714285714
Residenza Calle Larga San Marco,9.5,56,1691,Apartment,0.2,San Marco,True,241.57142857142858
Casa Genoveffa,8.8,56,636,Apartment,1.3,Giudecca,False,90.85714285714286
DolceVita N 373,9.1,5,932,Apartment,1.0,Santa Croce,True,133.14285714285714
Ca' Del Nobile,8.1,404,1041,Hotel,0.2,San Marco,True,148.71428571428572
Villa Ricordi,7.4,26,422,Hotel,9.7,Not specified,True,60.285714285714285
Domus Orsoni,8.9,219,875,Hotel,1.8,Cannaregio,True,125.0
Zaguri B&B,9.2,567,1104,Bed&Breakfast,0.5,San Marco,True,157.71428571428572
WHERE GRAND CANAL STARTS panoramic view. 5pax.wifi,8.5,18,1477,Apartment,1.7,Santa Croce,True,211.0
San Lorenzo Apartments near St Mark's square,9.0,11,1286,Apartment,0.5,Castello,True,183.71428571428572
Rialto,9.6,7,1278,Apartment,0.7,San Polo,False,182.57142857142858
Luxury balcony apartment,8.8,9,2451,Apartment,1.5,Cannaregio,True,350.14285714285717
Venice Apartments San Samuele,9.4,46,1176,Apartment,0.7,San Marco,True,168.0
Ormesini Apartment,5.4,11,675,Apartment,1.6,Cannaregio,True,96.42857142857143
Venice Sanella Rooms,8.1,77,387,Hotel,9.8,Not specified,True,55.285714285714285
La Chambre D'Ella,9.4,46,1021,Hotel,1.2,Santa Croce,False,145.85714285714286
City Apartments San Marco,8.1,259,1077,Apartment,0.2,Centro di Venezia,True,153.85714285714286
Locanda Cà del Brocchi,8.8,471,1230,Hotel,0.7,Dorsoduro,True,175.71428571428572
Corte Nova,8.8,236,963,Apartment,0.7,Castello,True,137.57142857142858
Savoia e jolanda Apartments,8.8,228,1045,Apartment,0.6,Castello,True,149.28571428571428
Guest House Al Milion,8.1,591,956,Hotel,0.5,Cannaregio,True,136.57142857142858
Relais Piazza San Marco,8.1,765,1416,Hotel,0.1,San Marco,True,202.28571428571428
Hotel Locanda Canal,7.8,528,1115,Hotel,0.3,Castello,True,159.28571428571428
Palazzetto San Lio. Rialto,8.3,99,809,Apartment,0.4,Castello,True,115.57142857142857
Rigoletto Charm,8.9,465,1351,Hotel,1.5,Cannaregio,True,193.0
San Marco Palace,7.8,359,1420,Hotel,0.1,San Marco,True,202.85714285714286
